title,authors,year,source,link,snippet,cited_by,pdf_link,gs_position,query
Social media use in adolescence: Longitudinal relationships with social functioning and psychopathology,AP Schmitt,,search.proquest.com,https://search.proquest.com/openview/f3fb16d8702bf821e33a023684cf1f3a/1?pq-origsite=gscholar&cbl=18750&diss=y,"… feel the need to use social media apps more and more;” “I use social media apps so much that it has had a bad effect on my schoolwork or job”). In the ABCD study, items were rated on …",1,https://commons.emich.edu/cgi/viewcontent.cgi?article=2575&context=theses,2,"""ABCD Study"" ""social media"" adolescent"
Longitudinal panel networks of risk and protective factors for early adolescent suicidality in the ABCD sample,"GT Wallace, BT Conner",,cambridge.org,https://www.cambridge.org/core/journals/development-and-psychopathology/article/longitudinal-panel-networks-of-risk-and-protective-factors-for-early-adolescent-suicidality-in-the-abcd-sample/5DD966847A02905C2C4185727FF4CEE0,"… This study also would not have been possible without the ABCD Study participants and families, who generously contributed their time and data to support scientific research. …",3,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/5DD966847A02905C2C4185727FF4CEE0/S0954579424001597a.pdf/longitudinal-panel-networks-of-risk-and-protective-factors-for-early-adolescent-suicidality-in-the-abcd-sample.pdf,4,"""ABCD Study"" ""social media"" adolescent"
"Social Media, Eating Disorders, and Early Adolescence",LE Davis,,search.proquest.com,https://search.proquest.com/openview/baeadb1fd02596c7245a00f63c8170ff/1?pq-origsite=gscholar&cbl=18750&diss=y,"… the criteria used for the ABCD study do not align directly with DSM-5 OSFED criteria (ie, … Using follow up data from years one and two of the ABCD study, the present study set …",,,6,"""ABCD Study"" ""social media"" adolescent"
The impact of physical activity on substance use experimentation and initiation among adolescents: Results from the ABCD Study® cohort,"CM Kaiver, EL Thompson, SW Hawes…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S2772724625000563,"… Adolescence is marked by increased engagement in risky substance use (SU) behaviors, … influences SU experimentation and initiation among adolescents. We predicted higher levels …",,,10,"""ABCD Study"" ""social media"" adolescent"
"Social media, eating disorders, and adolescence",LE Davis,,rucore.libraries.rutgers.edu,https://rucore.libraries.rutgers.edu/rutgers-lib/75487/,"… Using follow up data from years one and two of the ABCD study, the present study set out to determine whether time spent on social networking sites would predict the presence of a full …",,https://rucore.libraries.rutgers.edu/rutgers-lib/75487/PDF/1/play/,11,"""ABCD Study"" ""social media"" adolescent"
56.2 ABCD Study: Psychometric Analyses of Social Media and Video Game Addiction Scales,KS Bagot,,jaacap.org,https://www.jaacap.org/article/S0890-8567(22)00716-X/abstract,"… was developed in the ABCD study, including psychometric analyses of social media and video game … Compared with boys, girls engaged in greater social media use (p < .001) and …",,,14,"""ABCD Study"" ""social media"" adolescent"
Sociocultural influences on alcohol expectancies in early adolescence: Findings from the ABCD study.,"M Sanchez, MR Gonzalez, A Fernandez…",,psycnet.apa.org,https://psycnet.apa.org/fulltext/2023-75206-001.html,Objective: Alcohol expectancies (AE) during early adolescence predict early alcohol use initiation and problem drinking both cross-sectionally and prospectively well into adulthood. Yet…,15,https://psycnet.apa.org/manuscript/2023-75206-001.pdf,15,"""ABCD Study"" ""social media"" adolescent"
"Stress exposures, neurodevelopment and health measures in the ABCD study","EA Hoffman, DB Clark, N Orendain, J Hudziak…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S2352289518300821,… ABCD Study will allow the examination of the relationships among these variables in adolescence… other outcomes in the context of adolescent development. This knowledge could lead …,149,,18,"""ABCD Study"" ""social media"" adolescent"
Which underlying major depression symptom dimensions are most closely related to problematic smartphone use and problematic social media use severity?,"J Elhai, S Casale",,akjournals.com,https://akjournals.com/view/journals/2006/14/supplement1/article-p1.pdf#page=192,… of pre-adolescents from the ABCD study. We hypothesized that … follow-up data from the ABCD study. The majority of participants … digital media use during childhood and adolescence. …,,https://europepmc.org/articles/pmc12625850?pdf=render#page=192,20,"""ABCD Study"" ""social media"" adolescent"
Initial subjective response to nicotine vaping predicts subsequent E-cigarette use in early adolescence: an ABCD investigation,"KE Courtney, TT Nguyen-Louie…",,academic.oup.com,https://academic.oup.com/ntr/article-abstract/27/12/2177/8152924,"… Adolescent Brain Cognitive Development (ABCD) Study (https://abcdstudy.org), held in the NIMH Data Archive. The ABCD Study … designed and implemented the ABCD study but did not …",2,https://academic.oup.com/ntr/article-pdf/27/12/2177/63400209/ntaf116.pdf,6,"""ABCD Study"" smartphone adolescent"
Neurobiological Predispositions and Developmental Trajectories of Gaming Disorder in Adolescents: A Longitudinal ABCD Study Analysis,KSC Woodman,,search.proquest.com,https://search.proquest.com/openview/973d290eb2253069f8da8fa02d0609c0/1?pq-origsite=gscholar&cbl=18750&diss=y,… The variables chosen were from the core ABCD study; the ABCD substudy variables were not considered. Grayed-out rows indicate variables that were excluded. CBCL = Child …,,https://escholarship.org/content/qt11q052b9/qt11q052b9_noSplash_d3a26d58b90b568f7e1855fe60431c32.pdf,15,"""ABCD Study"" smartphone adolescent"
Addictive Screen Use and Youth Mental Health—Reply,"Y Xiao, KM Keyes, JJ Mann",,jamanetwork.com,https://jamanetwork.com/journals/jama/article-abstract/2839987,"… teens.Without controlling for these external factors, it is difficult to isolate the contribution of screen use trajectories on adolescent … use across social media, mobile phones, and video …",,,18,"""ABCD Study"" smartphone adolescent"
